Component Name,Description
"AWS Load Balancer Operator","Operator which helps to manage Elastic Load Balancers (ALB, NLB) for an OpenShift cluster."
"BMER Events","Configures the system to get timely updates on the state of the hardware"
"Bare Metal Hardware Provisioning","Bugs related to bare metal provisioning"
"Bare Metal Hardware Provisioning / OS Image Provider","Provides and customizes the CoreOS image for booting bare metal hosts"
"Bare Metal Hardware Provisioning / baremetal-operator","Problems specific to the baremetal operator"
"Bare Metal Hardware Provisioning / cluster-api-provider","The cluster api provider bits for bare metal provisioning"
"Bare Metal Hardware Provisioning / cluster-baremetal-operator","Manages baremetal provisioning services"
"Bare Metal Hardware Provisioning / ironic","Problems in ironic"
"Build","Provides the build infrastructure including Source To Image and containers builds"
"CNF-Cert-TNF","The CNF Certification Test Suite (aka the Test Network Function repo) is a certification framework containing a list of CNF best practice tests used to certify Telco CNF workloads and list those certified workloads on Red Hat CNF catalog"
"CNV-lp-interop","CNV Interop Testing reporting issues that are covered by the Component Readiness Platform"
"Cloud Compute / BareMetal Provider","BareMetal Provider"
"Cloud Compute / Cloud Controller Manager","Used to initialise new Nodes with Cloud Provider information and to provision Load Balancers via Service objects"
"Cloud Compute / Cluster API Providers",""
"Cloud Compute / ControlPlaneMachineSet",""
"Cloud Compute / External Provider","External provider is the component associated with the ""external"" platform type."
"Cloud Compute / IBM Provider","Manages OpenShift integration with the IBM platform"
"Cloud Compute / KubeVirt Provider","Manages OpenShift integration with KubeVirt platform infra cluster"
"Cloud Compute / Libvirt Provider","Libvirt cloud provider and Machine API provider"
"Cloud Compute / Machine API Providers",""
"Cloud Compute / Machine CSR Approver",""
"Cloud Compute / MachineHealthCheck","MachineHealthChecks are responsible for monitoring Node health and replacing faulty Nodes."
"Cloud Compute / Nutanix Provider","Manages OpenShift integration with the Nutanix platform"
"Cloud Compute / OpenStack Provider","OpenStack Provider"
"Cloud Compute / Unknown","Unknown / Other Providers"
"Cloud Compute / oVirt Provider","oVirt Provider"
"Cloud Compute / vSphere Provider","vSphere Provider"
"Cloud Credential Operator","Manages cloud provider credentials as Kubernetes CRDs."
"Cloud Native Events / Cloud Event Proxy","Cloud Event utility container for Event Notifications and Status"
"Cloud Native Events / Cloud Native Events","Provides a set of utility containers using the Cloud Native Events framework for Event Notifications and Status"
"Cloud Native Events / Hardware Event Proxy","Hardware Event Proxy implements an event-receiver client for Redfish hardware events. It utilizes cloud native events framework to deliver Redfish events to subscribed applications with low-latency."
"Cluster Autoscaler","Cluster Autoscaler is responsible for adding and removing compute capacity from clusters based on the demands of running workloads"
"Cluster Loader","Extended test component used to load OCP cluster with large number of objects"
